1608-20-733-061,1,CD,18,56,74,4,3_2,100
1608-20-733-061,2,DAA,12,57,69,4,3_2,100
1608-20-733-061,3,ML,13,65,78,4,3_2,100
1608-20-733-061,4,CNS,14,66,80,4,3_2,100
1608-20-733-061,5,ST,15,45,60,4,3_2,100
1608-20-733-061,6,SSIS,16,54,70,4,3_2,100
1608-20-733-062,1,CD,18,66,84,4,3_2,100
1608-20-733-062,2,DAA,20,65,85,4,3_2,100
1608-20-733-062,3,ML,20,75,95,4,3_2,100
1608-20-733-062,4,CNS,19,65,84,4,3_2,100
1608-20-733-062,5,ST,15,56,71,4,3_2,100
1608-20-733-062,6,SSIS,17,45,52,4,3_2,100
1608-20-733-063,1,CD,15,76,91,4,3_2,100
1608-20-733-063,2,DAA,16,65,81,4,3_2,100
1608-20-733-063,3,ML,17,61,78,4,3_2,100
1608-20-733-063,4,CNS,18,62,80,4,3_2,100
1608-20-733-063,5,ST,19,63,82,4,3_2,100
1608-20-733-063,6,SSIS,20,64,84,4,3_2,100
1608-20-733-064,1,CD,15,65,80,4,3_2,100
1608-20-733-064,2,DAA,16,66,82,4,3_2,100
1608-20-733-064,3,ML,16,67,83,4,3_2,100
1608-20-733-064,4,CNS,17,68,85,4,3_2,100
1608-20-733-064,5,ST,18,69,87,4,3_2,100
1608-20-733-064,6,SSIS,18,70,88,4,3_2,100
1608-20-733-065,1,CD,19,51,70,4,3_2,100
1608-20-733-065,2,DAA,20,52,72,4,3_2,100
1608-20-733-065,3,ML,20,53,73,4,3_2,100
1608-20-733-065,4,CNS,20,54,74,4,3_2,100
1608-20-733-065,5,ST,12,55,67,4,3_2,100
1608-20-733-065,6,SSIS,13,54,67,4,3_2,100
1608-20-733-066,1,CD,14,56,70,4,3_2,100
1608-20-733-066,2,DAA,15,57,72,4,3_2,100
1608-20-733-066,3,ML,20,58,78,4,3_2,100
1608-20-733-066,4,CNS,13,59,72,4,3_2,100
1608-20-733-066,5,ST,14,60,74,4,3_2,100
1608-20-733-066,6,SSIS,15,71,86,4,3_2,100
1608-20-733-067,1,CD,16,72,88,4,3_2,100
1608-20-733-067,2,DAA,17,73,90,4,3_2,100
1608-20-733-067,3,ML,18,74,92,4,3_2,100
1608-20-733-067,4,CNS,19,75,94,4,3_2,100
1608-20-733-067,5,ST,20,76,96,4,3_2,100
1608-20-733-067,6,SSIS,12,77,89,4,3_2,100
1608-20-733-068,1,CD,13,78,91,4,3_2,100
1608-20-733-068,2,DAA,14,79,93,4,3_2,100
1608-20-733-068,3,ML,15,80,95,4,3_2,100
1608-20-733-068,4,CNS,15,41,56,4,3_2,100
1608-20-733-068,5,ST,17,42,59,4,3_2,100
1608-20-733-068,6,SSIS,17,43,60,4,3_2,100
1608-20-733-069,1,CD,18,44,62,4,3_2,100
1608-20-733-069,2,DAA,18,45,53,4,3_2,100
1608-20-733-069,3,ML,18,46,54,4,3_2,100
1608-20-733-069,4,CNS,19,74,93,4,3_2,100
1608-20-733-069,5,ST,19,48,67,4,3_2,100
1608-20-733-069,6,SSIS,19,49,68,4,3_2,100
1608-20-733-070,1,CD,18,50,68,4,3_2,100
1608-20-733-070,2,DAA,17,51,68,4,3_2,100
1608-20-733-070,3,ML,16,52,68,4,3_2,100
1608-20-733-070,4,CNS,15,53,68,4,3_2,100
1608-20-733-070,5,ST,18,54,72,4,3_2,100
1608-20-733-070,6,SSIS,19,55,74,4,3_2,100
