1608-20-733-061,20,DS,18,56,74,4,3_1,100
1608-20-733-061,21,ALC,12,57,69,4,3_1,100
1608-20-733-061,22,PPL,14,65,79,4,3_1,100
1608-20-733-061,23,SE,14,66,80,4,3_1,100
1608-20-733-061,24,CN,15,46,61,4,3_1,100
1608-20-733-061,25,AI,16,54,70,4,3_1,100
1608-20-733-062,20,DS,18,67,85,4,3_1,100
1608-20-733-062,21,ALC,20,65,85,4,3_1,100
1608-20-733-062,22,PPL,20,75,95,4,3_1,100
1608-20-733-062,23,SE,19,65,84,4,3_1,100
1608-20-733-062,24,CN,15,57,72,4,3_1,100
1608-20-733-062,25,AI,17,45,52,4,3_1,100
1608-20-733-063,20,DS,15,77,92,4,3_1,100
1608-20-733-063,21,ALC,16,65,81,4,3_1,100
1608-20-733-063,22,PPL,17,61,78,4,3_1,100
1608-20-733-063,23,SE,18,62,80,4,3_1,100
1608-20-733-063,24,CN,19,64,83,4,3_1,100
1608-20-733-063,25,AI,20,64,84,4,3_1,100
1608-20-733-064,20,DS,15,65,80,4,3_1,100
1608-20-733-064,21,ALC,16,66,82,4,3_1,100
1608-20-733-064,22,PPL,16,68,84,4,3_1,100
1608-20-733-064,23,SE,17,68,85,4,3_1,100
1608-20-733-064,24,CN,19,69,88,4,3_1,100
1608-20-733-064,25,AI,18,70,88,4,3_1,100
1608-20-733-065,20,DS,19,51,70,4,3_1,100
1608-20-733-065,21,ALC,20,53,73,4,3_1,100
1608-20-733-065,22,PPL,20,53,73,4,3_1,100
1608-20-733-065,23,SE,20,54,74,4,3_1,100
1608-20-733-065,24,CN,12,55,67,4,3_1,100
1608-20-733-065,25,AI,13,56,69,4,3_1,100
1608-20-733-066,20,DS,14,56,70,4,3_1,100
1608-20-733-066,21,ALC,15,57,72,4,3_1,100
1608-20-733-066,22,PPL,20,58,78,4,3_1,100
1608-20-733-066,23,SE,13,60,73,4,3_1,100
1608-20-733-066,24,CN,14,60,74,4,3_1,100
1608-20-733-066,25,AI,15,71,86,4,3_1,100
1608-20-733-067,20,DS,16,73,89,4,3_1,100
1608-20-733-067,21,ALC,17,73,90,4,3_1,100
1608-20-733-067,22,PPL,18,74,92,4,3_1,100
1608-20-733-067,23,SE,20,75,95,4,3_1,100
1608-20-733-067,24,CN,20,76,96,4,3_1,100
1608-20-733-067,25,AI,12,77,89,4,3_1,100
1608-20-733-068,20,DS,13,78,91,4,3_1,100
1608-20-733-068,21,ALC,14,80,94,4,3_1,100
1608-20-733-068,22,PPL,15,80,95,4,3_1,100
1608-20-733-068,23,SE,15,41,56,4,3_1,100
1608-20-733-068,24,CN,17,42,59,4,3_1,100
1608-20-733-068,25,AI,17,43,60,4,3_1,100
1608-20-733-069,20,DS,18,45,63,4,3_1,100
1608-20-733-069,21,ALC,18,45,53,4,3_1,100
1608-20-733-069,22,PPL,18,46,54,4,3_1,100
1608-20-733-069,23,SE,19,75,94,4,3_1,100
1608-20-733-069,24,CN,19,48,67,4,3_1,100
1608-20-733-069,25,AI,19,49,68,4,3_1,100
1608-20-733-070,20,DS,18,50,68,4,3_1,100
1608-20-733-070,21,ALC,17,52,69,4,3_1,100
1608-20-733-070,22,PPL,16,52,68,4,3_1,100
1608-20-733-070,23,SE,15,53,68,4,3_1,100
1608-20-733-070,24,CN,18,54,72,4,3_1,100
1608-20-733-070,25,AI,20,55,75,4,3_1,100
